,text
21,WILDS A Benchmark of intheWild Distribution Shifts Distribution shifts  where the training distribution differs from the testdistribution  can substantially degrade the accuracy of machine learning MLsystems deployed in the wild. Despite their ubiquity in the realworlddeployments these distribution shifts are underrepresented in the datasetswidely used in the ML community today. To address this gap we present WILDS acurated benchmark of  datasets reflecting a diverse range of distributionshifts that naturally arise in realworld applications such as shifts acrosshospitals for tumor identification across camera traps for wildlifemonitoring and across time and location in satellite imaging and povertymapping. On each dataset we show that standard training yields substantiallylower outofdistribution than indistribution performance. This gap remainseven with models trained by existing methods for tackling distribution shiftsunderscoring the need for new methods for training models that are more robustto the types of distribution shifts that arise in practice. To facilitatemethod development we provide an opensource package that automates datasetloading contains default model architectures and hyperparameters andstandardizes evaluations. Code and leaderboards are available at
22,ImageNettrained CNNs are biased towards texture increasing shape bias improves accuracy and robustness Convolutional Neural Networks CNNs are commonly thought to recogniseobjects by learning increasingly complex representations of object shapes. Somerecent studies suggest a more important role of image textures. We here putthese conflicting hypotheses to a quantitative test by evaluating CNNs andhuman observers on images with a textureshape cue conflict. We show thatImageNettrained CNNs are strongly biased towards recognising textures ratherthan shapes which is in stark contrast to human behavioural evidence andreveals fundamentally different classification strategies. We then demonstratethat the same standard architecture ResNet that learns a texturebasedrepresentation on ImageNet is able to learn a shapebased representationinstead when trained on StylizedImageNet a stylized version of ImageNet.This provides a much better fit for human behavioural performance in ourwellcontrolled psychophysical lab setting nine experiments totalling psychophysical trials across  observers and comes with a number ofunexpected emergent benefits such as improved object detection performance andpreviously unseen robustness towards a wide range of image distortionshighlighting advantages of a shapebased representation.
23,Natural Adversarial Examples We introduce two challenging datasets that reliably cause machine learningmodel performance to substantially degrade. The datasets are collected with asimple adversarial filtration technique to create datasets with limitedspurious cues. Our datasets realworld unmodified examples transfer tovarious unseen models reliably demonstrating that computer vision models haveshared weaknesses. The first dataset is called ImageNetA and is like theImageNet test set but it is far more challenging for existing models. We alsocurate an adversarial outofdistribution detection dataset called ImageNetOwhich is the first outofdistribution detection dataset created for ImageNetmodels. On ImageNetA a DenseNet obtains around  accuracy an accuracydrop of approximately  and its outofdistribution detection performance onImageNetO is near random chance levels. We find that existing dataaugmentation techniques hardly boost performance and using other publictraining datasets provides improvements that are limited. However we find thatimprovements to computer vision architectures provide a promising path towardsrobust models.
24,Back to the Source DiffusionDriven TestTime Adaptation Testtime adaptation harnesses test inputs to improve the accuracy of a modeltrained on source data when tested on shifted target data. Existing methodsupdate the source model by retraining on each target domain. Whileeffective retraining is sensitive to the amount and order of the data and thehyperparameters for optimization. We instead update the target data byprojecting all test inputs toward the source domain with a generative diffusionmodel. Our diffusiondriven adaptation method DDA shares its models forclassification and generation across all domains. Both models are trained onthe source domain then fixed during testing. We augment diffusion with imageguidance and selfensembling to automatically decide how much to adapt. Inputadaptation by DDA is more robust than prior model adaptation approaches acrossa variety of corruptions architectures and data regimes on the ImageNetCbenchmark. With its inputwise updates DDA succeeds where model adaptationdegrades on too little data in small batches dependent data in nonuniformorder or mixed data with multiple corruptions.
25,GSCLIP  A Framework for Explaining Distribution Shifts in Natural Language Helping end users comprehend the abstract distribution shifts can greatlyfacilitate AI deployment. Motivated by this we propose a novel task datasetexplanation. Given two image data sets dataset explanation aims toautomatically point out their datasetlevel distribution shifts with naturallanguage. Current techniques for monitoring distribution shifts provideinadequate information to understand datasets with the goal of improving dataquality. Therefore we introduce GSCLIP a trainingfree framework to solve thedataset explanation task. In GSCLIP we propose the selector as the firstquantitative evaluation method to identify explanations that are proper tosummarize dataset shifts. Furthermore we leverage this selector to demonstratethe superiority of a generator based on language model generation. Systematicevaluation on natural data shift verifies that GSCLIP a combined system of ahybrid generator group and an efficient selector is not only easytouse butalso powerful for dataset explanation at scale.
26,Robustness of Epinets against Distributional Shifts Recent work introduced the epinet as a new approach to uncertainty modelingin deep learning. An epinet is a small neural network added to traditionalneural networks which together can produce predictive distributions. Inparticular using an epinet can greatly improve the quality of jointpredictions across multiple inputs a measure of how well a neural networkknows what it does not know. In this paper we examine whether epinets canoffer similar advantages under distributional shifts. We find that acrossImageNetAOC epinets generally improve robustness metrics. Moreover theseimprovements are more significant than those afforded by even very largeensembles at orders of magnitude lower computational costs. However theseimprovements are relatively small compared to the outstanding issues indistributionallyrobust deep learning. Epinets may be a useful tool in thetoolbox but they are far from the complete solution.
27,AgreementontheLine Predicting the Performance of Neural Networks under Distribution Shift Recently Miller et al. showed that a models indistribution ID accuracyhas a strong linear correlation with its outofdistribution OOD accuracy onseveral OOD benchmarks  a phenomenon they dubbed accuracyontheline.While a useful tool for model selection i.e. the model most likely to performthe best OOD is the one with highest ID accuracy this fact does not helpestimate the actual OOD performance of models without access to a labeled OODvalidation set. In this paper we show a similar but surprising phenomenon alsoholds for the agreement between pairs of neural network classifiers wheneveraccuracyontheline holds we observe that the OOD agreement between thepredictions of any two pairs of neural networks with potentially differentarchitectures also observes a strong linear correlation with their IDagreement. Furthermore we observe that the slope and bias of OOD vs IDagreement closely matches that of OOD vs ID accuracy. This phenomenon which wecall agreementontheline has important practical applications without anylabeled data we can predict the OOD accuracy of classifiers since OODagreement can be estimated with just unlabeled data. Our prediction algorithmoutperforms previous methods both in shifts where agreementontheline holdsand surprisingly when accuracy is not on the line. This phenomenon alsoprovides new insights into deep neural networks unlike accuracyonthelineagreementontheline appears to only hold for neural network classifiers.
28,Adversarial Text Normalization Textbased adversarial attacks are becoming more commonplace and accessibleto general internet users. As these attacks proliferate the need to addressthe gap in model robustness becomes imminent. While retraining on adversarialdata may increase performance there remains an additional class ofcharacterlevel attacks on which these models falter. Additionally the processto retrain a model is time and resource intensive creating a need for alightweight reusable defense. In this work we propose the Adversarial TextNormalizer a novel method that restores baseline performance on attackedcontent with low computational overhead. We evaluate the efficacy of thenormalizer on two problem areas prone to adversarial attacks i.e. Hate Speechand Natural Language Inference. We find that text normalization provides ataskagnostic defense against characterlevel attacks that can be implementedsupplementary to adversarial retraining solutions which are more suited forsemantic alterations.
29,Robustifying Vision Transformer without Retraining from Scratch by TestTime ClassConditional Feature Alignment Vision Transformer ViT is becoming more popular in image processing.Specifically we investigate the effectiveness of testtime adaptation TTA onViT a technique that has emerged to correct its prediction during testtime byitself. First we benchmark various testtime adaptation approaches on ViTBand ViTL. It is shown that the TTA is effective on ViT and thepriorconvention sensibly selecting modulation parameters is not necessarywhen using proper loss function. Based on the observation we propose a newtesttime adaptation method called classconditional feature alignment CFAwhich minimizes both the classconditional distribution differences and thewhole distribution differences of the hidden representation between the sourceand target in an online manner. Experiments of image classification tasks oncommon corruption CIFARC CIFARC and ImageNetC and domainadaptation digits datasets and ImageNetSketch show that CFA stablyoutperforms the existing baselines on various datasets. We also verify that CFAis model agnostic by experimenting on ResNet MLPMixer and several ViTvariants ViTAugReg DeiT and BeiT. Using BeiT backbone CFA achieves .top error rate on ImageNetC outperforming the existing testtime adaptationbaseline .. This is a stateoftheart result among TTA methods that do notneed to alter training phase.
30,Increasing Confidence in Adversarial Robustness Evaluations Hundreds of defenses have been proposed to make deep neural networks robustagainst minimal adversarial input perturbations. However only a handful ofthese defenses held up their claims because correctly evaluating robustness isextremely challenging Weak attacks often fail to find adversarial exampleseven if they unknowingly exist thereby making a vulnerable network lookrobust. In this paper we propose a test to identify weak attacks and thusweak defense evaluations. Our test slightly modifies a neural network toguarantee the existence of an adversarial example for every sample.Consequentially any correct attack must succeed in breaking this modifiednetwork. For eleven out of thirteen previouslypublished defenses the originalevaluation of the defense fails our test while stronger attacks that breakthese defenses pass it. We hope that attack unit tests  such as ours  will bea major component in future robustness evaluations and increase confidence inan empirical field that is currently riddled with skepticism.
31,Demystifying the Adversarial Robustness of Random Transformation Defenses Neural networks lack of robustness against attacks raises concerns insecuritysensitive settings such as autonomous vehicles. While manycountermeasures may look promising only a few withstand rigorous evaluation.Defenses using random transformations RT have shown impressive resultsparticularly BaRT Raff et al.  on ImageNet. However this type ofdefense has not been rigorously evaluated leaving its robustness propertiespoorly understood. Their stochastic properties make evaluation more challengingand render many proposed attacks on deterministic models inapplicable. Firstwe show that the BPDA attack Athalye et al. a used in BaRTs evaluationis ineffective and likely overestimates its robustness. We then attempt toconstruct the strongest possible RT defense through the informed selection oftransformations and Bayesian optimization for tuning their parameters.Furthermore we create the strongest possible attack to evaluate our RTdefense. Our new attack vastly outperforms the baseline reducing the accuracyby  compared to the  reduction by the commonly used EoT attack.times improvement. Our result indicates that the RT defense on theImagenette dataset a tenclass subset of ImageNet is not robust againstadversarial examples. Extending the study further we use our new attack toadversarially train RT defense called AdvRT resulting in a large robustnessgain. Code is available at
32,GSmooth Certified Robustness against Semantic Transformations via Generalized Randomized Smoothing Certified defenses such as randomized smoothing have shown promise towardsbuilding reliable machine learning systems against ellpnorm boundedattacks. However existing methods are insufficient or unable to provablydefend against semantic transformations especially those without closedformexpressions such as defocus blur and pixelate which are more common inpractice and often unrestricted. To fill up this gap we propose generalizedrandomized smoothing GSmooth a unified theoretical framework for certifyingrobustness against general semantic transformations via a novel dimensionaugmentation strategy. Under the GSmooth framework we present a scalablealgorithm that uses a surrogate imagetoimage network to approximate thecomplex transformation. The surrogate model provides a powerful tool forstudying the properties of semantic transformations and certifying robustness.Experimental results on several datasets demonstrate the effectiveness of ourapproach for robustness certification against multiple kinds of semantictransformations and corruptions which is not achievable by the alternativebaselines.
33,Can CNNs Be More Robust Than Transformers The recent success of Vision Transformers is shaking the long dominance ofConvolutional Neural Networks CNNs in image recognition for a decade.Specifically in terms of robustness on outofdistribution samples recentresearch finds that Transformers are inherently more robust than CNNsregardless of different training setups. Moreover it is believed that suchsuperiority of Transformers should largely be credited to theirselfattentionlike architectures per se. In this paper we question thatbelief by closely examining the design of Transformers. Our findings lead tothree highly effective architecture designs for boosting robustness yet simpleenough to be implemented in several lines of code namely a patchifying inputimages b enlarging kernel size and c reducing activation layers andnormalization layers. Bringing these components together we are able to buildpure CNN architectures without any attentionlike operations that is as robustas or even more robust than Transformers. We hope this work can help thecommunity better understand the design of robust neural architectures. The codeis publicly available at
34,On the Robustness of Safe Reinforcement Learning under Observational Perturbations Safe reinforcement learning RL trains a policy to maximize the task rewardwhile satisfying safety constraints. While prior works focus on the performanceoptimality we find that the optimal solutions of many safe RL problems are notrobust and safe against carefully designed observational perturbations. Weformally analyze the unique properties of designing effective state adversarialattackers in the safe RL setting. We show that baseline adversarial attacktechniques for standard RL tasks are not always effective for safe RL andproposed two new approaches  one maximizes the cost and the other maximizesthe reward. One interesting and counterintuitive finding is that the maximumreward attack is strong as it can both induce unsafe behaviors and make theattack stealthy by maintaining the reward. We further propose a more effectiveadversarial training framework for safe RL and evaluate it via comprehensiveexperiments. This work sheds light on the inherited connection betweenobservational robustness and safety in RL and provides a pioneer work forfuture safe RL studies.
35,Diffusion Models for Adversarial Purification Adversarial purification refers to a class of defense methods that removeadversarial perturbations using a generative model. These methods do not makeassumptions on the form of attack and the classification model and thus candefend preexisting classifiers against unseen threats. However theirperformance currently falls behind adversarial training methods. In this workwe propose DiffPure that uses diffusion models for adversarial purificationGiven an adversarial example we first diffuse it with a small amount of noisefollowing a forward diffusion process and then recover the clean image througha reverse generative process. To evaluate our method against strong adaptiveattacks in an efficient and scalable way we propose to use the adjoint methodto compute full gradients of the reverse generative process. Extensiveexperiments on three image datasets including CIFAR ImageNet and CelebAHQwith three classifier architectures including ResNet WideResNet and ViTdemonstrate that our method achieves the stateoftheart resultsoutperforming current adversarial training and adversarial purificationmethods often by a large margin. Project page
36,Distinction Maximization Loss Efficiently Improving Classification Accuracy Uncertainty Estimation and OutofDistribution Detection Simply Replacing the Loss and Calibrating Building robust deterministic neural networks remains a challenge. On the onehand some approaches improve outofdistribution detection at the cost ofreducing classification accuracy in some situations. On the other hand somemethods simultaneously increase classification accuracy uncertaintyestimation and outofdistribution detection at the expense of reducing theinference efficiency and requiring training the same model many times to tunehyperparameters. In this paper we propose training deterministic neuralnetworks using our DisMax loss which works as a dropin replacement for theusual SoftMax loss i.e. the combination of the linear output layer theSoftMax activation and the crossentropy loss. Starting from the IsoMaxloss we create each logit based on the distances to all prototypes rather thanjust the one associated with the correct class. We also introduce a mechanismto combine images to construct what we call fractional probabilityregularization. Moreover we present a fast way to calibrate the network aftertraining. Finally we propose a composite score to perform outofdistributiondetection. Our experiments show that DisMax usually outperforms currentapproaches simultaneously in classification accuracy uncertainty estimationand outofdistribution detection while maintaining deterministic neuralnetwork inference efficiency and avoiding training the same model repetitivelyfor hyperparameter tuning. The code to reproduce the results is available at
37,SmoothReduce Leveraging Patches for Improved Certified Robustness Randomized smoothing RS has been shown to be a fast scalable technique forcertifying the robustness of deep neural network classifiers. However methodsbased on RS require augmenting data with large amounts of noise which leads tosignificant drops in accuracy. We propose a trainingfree modified smoothingapproach SmoothReduce that leverages patching and aggregation to provideimproved classifier certificates. Our algorithm classifies overlapping patchesextracted from an input image and aggregates the predicted logits to certify alarger radius around the input. We study two aggregation schemes  max andmean  and show that both approaches provide better certificates in terms ofcertified accuracy average certified radii and abstention rates as compared toconcurrent approaches. We also provide theoretical guarantees for suchcertificates and empirically show significant improvements over otherrandomized smoothing methods that require expensive retraining. Further weextend our approach to videos and provide meaningful certificates for videoclassifiers. A project page can be found at
38,Adversarial Training for HighStakes Reliability In the future powerful AI systems may be deployed in highstakes settingswhere a single failure could be catastrophic. One technique for improving AIsafety in highstakes settings is adversarial training which uses an adversaryto generate examples to train on in order to achieve better worstcaseperformance.
